Team,Rnd_1,R_1,ACS_1,K.D_1,KAST_1,ADR_1,KPR_1,APR_1,FKPR_1,FDPR_1,HS._1,CL,KMax_1,K_1,D_1,A_1,FK_1,FD_1,Open_Duel_Won_1,rank,GS_win,ecdf_rank,Percentile,Tournament,experience,rankRey21,rankBer21,performance,win,rankRey22,rankCop22,rankTok23
ACE,106,1.1,194.12,1.076,0.78,125.03999999999999,0.674,0.292,0.114,0.074,0.246,0.23750000000000002,18.2,71.6,67,31,12,7.8,0.5851333851333851,1,1,0.0625,6.25,Championships 2021,1,NA,6.5,1,0,NA,NA,NA
C9,189,1.026,197.88,0.996,0.712,132.6,0.682,0.31,0.1,0.10200000000000001,0.192,0.154,24,129.2,129.8,58.8,18.6,19.2,0.48804781123198676,6.5,0,0.5,50,Championships 2021,0,NA,NA,0,0,NA,NA,NA
CR,63.333333333333336,0.755,175.73333333333335,0.7216666666666667,0.6016666666666667,118.43333333333334,0.6033333333333333,0.29,0.06166666666666667,0.12,0.28,0.1575,16.5,37.166666666666664,52.833333333333336,18.666666666666668,4.333333333333333,8.333333333333334,0.3058862433862434,14.5,0,1,100,Championships 2021,1,9.5,10.5,0,0,NA,NA,NA
FNC,139,1.076,197.66,1.0979999999999999,0.752,131.86,0.704,0.274,0.116,0.084,0.232,0.2,22.6,97.8,89,38,16,11.8,0.5653091075645548,6.5,1,0.5,50,Championships 2021,1,2,NA,1,0,NA,NA,NA
FS,82,0.838,178.52,0.8099999999999999,0.662,124.06,0.622,0.218,0.094,0.106,0.262,0.08333333333333333,18.2,51,62.8,17.8,7.6,8.8,0.45085347985347984,14.5,0,1,100,Championships 2021,0,NA,NA,0,0,NA,NA,NA
FUR,134,0.962,196.64,0.962,0.718,130.26,0.686,0.252,0.092,0.108,0.228,0.22,20.2,92.2,96.4,33.8,12.6,14.2,0.46717197156431967,14.5,0,1,100,Championships 2021,0,NA,NA,0,0,NA,NA,NA
GMB,114,1.062,214.5,1.092,0.698,141.12,0.758,0.21,0.10600000000000001,0.092,0.272,0.212,22.4,86.4,79,24,12.2,10.6,0.5028464017185822,2,1,0.125,12.5,Championships 2021,1,NA,1,1,1,NA,NA,NA
KRÜ,174,0.942,200.98,0.9600000000000001,0.6819999999999999,133.56,0.694,0.252,0.092,0.108,0.23,0.155,22,121.2,126.4,43.6,16,18.8,0.4543894168894169,3.5,0,0.25,25,Championships 2021,1,7.5,6.5,1,0,NA,NA,NA
KS,98,0.866,178.12,0.854,0.702,119.12,0.61,0.224,0.074,0.108,0.244,0.168,18.4,59.8,70,22,7.4,10.8,0.39913229659679966,14.5,0,1,100,Championships 2021,1,NA,10.5,0,0,NA,NA,NA
NV,156,1.012,200.02,1.026,0.71,134.92,0.698,0.256,0.09,0.11,0.25,0.14250000000000002,21,109,106.8,39.8,14.2,17,0.4324091949240691,10.5,0,0.75,75,Championships 2021,1,NA,2,1,0,NA,NA,NA
SEN,199,1.032,201.02,1.008,0.7000000000000001,132.68,0.6940000000000001,0.28400000000000003,0.112,0.094,0.186,0.15,21.6,138.6,137,56.4,21.8,18,0.5198580181453989,10.5,0,0.75,75,Championships 2021,1,1,6.5,1,1,NA,NA,NA
TL,103,1.084,206.44,1.12,0.744,138.16,0.738,0.278,0.104,0.1,0.298,0.19,22.2,75.8,68,28.8,10.6,10,0.5070360467419291,3.5,1,0.25,25,Championships 2021,1,4,NA,1,0,NA,NA,NA
TS,123,1.058,206.44,1.1260000000000001,0.74,138.78,0.756,0.266,0.112,0.09000000000000001,0.236,0.29333333333333333,20,92.8,82.6,32.8,13.4,11.2,0.5174268258027849,6.5,0,0.5,50,Championships 2021,0,NA,NA,0,0,NA,NA,NA
VKS,145,1.014,205.16,1.014,0.722,135.92000000000002,0.728,0.304,0.104,0.096,0.234,0.19,22.2,105.6,104.6,44.2,15,14,0.5195779220779221,10.5,0,0.75,75,Championships 2021,1,5.5,NA,1,0,NA,NA,NA
VS,141.66666666666666,1.005,195.13333333333333,1.0150000000000001,0.7116666666666667,128.96666666666667,0.6783333333333333,0.24,0.09833333333333333,0.105,0.26333333333333336,0.15,19.833333333333332,97.33333333333333,94.33333333333333,36.5,13.166666666666666,15.166666666666666,0.4705552163885497,10.5,0,0.75,75,Championships 2021,1,NA,6.5,1,0,NA,NA,NA
X10,148,1.03,203.18,1.034,0.708,135.26,0.71,0.288,0.108,0.09000000000000001,0.226,0.11333333333333334,21.8,105.2,101.8,42.8,15.8,13.8,0.5315892255892256,6.5,0,0.5,50,Championships 2021,1,7.5,NA,0,0,NA,NA,NA
100T,157,0.9380000000000001,190.58,0.928,0.71,125.06,0.67,0.298,0.098,0.10400000000000001,0.29,0.124,25.2,105.4,114,46.8,15.2,16.2,0.46155311355311357,10.5,0,0.75,75,Championships 2022,0,NA,NA,0,0,NA,NA,NA
BME,131,0.846,178.02,0.844,0.652,120.56,0.63,0.216,0.08600000000000001,0.114,0.244,0.17,24.6,82.4,98.4,28.6,11.2,15,0.437427997761759,14.5,0,1,100,Championships 2022,0,NA,NA,0,0,NA,NA,NA
DRX,103,1.15,210.54000000000002,1.144,0.766,136.94,0.736,0.308,0.114,0.08600000000000001,0.284,0.208,25.4,75.8,66.2,32,11.6,8.8,0.5662337662337662,3,1,0.1875,18.75,Championships 2022,1,NA,NA,1,0,5.5,5.5,NA
EDG,89.16666666666667,0.9216666666666666,192.78333333333333,0.915,0.6833333333333333,127.83333333333334,0.6683333333333333,0.23666666666666666,0.10166666666666667,0.10666666666666667,0.29333333333333333,0.125,20,59.333333333333336,64.66666666666667,21,9.166666666666666,8.666666666666666,0.4631313131313131,14.5,0,1,100,Championships 2022,0,NA,NA,0,0,NA,NA,NA
FNC,167,1.068,208.82,1.056,0.738,138.04,0.72,0.304,0.102,0.1,0.254,0.216,20.8,120.2,113.8,50.6,16.8,16.6,0.48043680630146796,5.5,0,0.375,37.5,Championships 2022,1,NA,NA,1,0,11.5,4,NA
FPX,143,1.084,214.56,1.1179999999999999,0.762,142.14,0.756,0.324,0.11599999999999999,0.084,0.306,0.16999999999999998,23.4,108.4,98.2,46.4,16.6,12,0.5783253588516747,4,0,0.25,25,Championships 2022,1,NA,NA,1,1,NA,1,NA
FUR,113,0.876,180.64,0.914,0.6839999999999999,121.67999999999999,0.66,0.23,0.092,0.11,0.266,0.2,22.6,74.6,82,25.8,10.4,12.4,0.4394957983193277,14.5,0,1,100,Championships 2022,0,NA,NA,0,0,NA,NA,NA
KRÜ,144,1.012,201.92000000000002,0.9760000000000001,0.6900000000000001,131.82,0.6940000000000001,0.296,0.098,0.10400000000000001,0.268,0.10666666666666666,21.2,100,102.8,42.8,14,14.8,0.4344261573666608,10.5,0,0.75,75,Championships 2022,1,NA,NA,0,0,11.5,9.5,NA
LEV,91,1.136,216.58,1.182,0.75,135.46,0.756,0.35,0.108,0.09,0.248,0.22333333333333333,22.2,68.8,58.4,32,10,8.2,0.5302842085450781,7.5,1,0.5,50,Championships 2022,1,NA,NA,1,0,NA,5.5,NA
LOUD,144,1.084,206.1,1.122,0.718,133.92,0.736,0.314,0.092,0.108,0.246,0.128,22.4,105.8,94.6,45.2,13.2,15.6,0.5189140828745291,1,0,0.0625,6.25,Championships 2022,1,NA,NA,1,0,2,11.5,NA
OPTC,127,1.1179999999999999,210.98,1.178,0.738,133.86,0.732,0.278,0.112,0.086,0.226,0.17750000000000002,24.4,93.2,81,35.6,14.6,10.8,0.5784304584304585,2,1,0.125,12.5,Championships 2022,1,NA,NA,1,1,1,3,NA
PRX,174,0.932,194.68,0.9,0.696,127.25999999999999,0.668,0.248,0.08800000000000001,0.114,0.266,0.1675,21.6,116.4,129,42.8,15,19.8,0.41413957307060756,10.5,0,0.75,75,Championships 2022,1,NA,NA,1,0,4,2,NA
TL,156,1.048,200.76,1.088,0.734,131.68,0.7,0.27,0.108,0.092,0.308,0.14500000000000002,21.2,109.4,100.8,42.2,16.8,14.4,0.523857770058378,7.5,0,0.5,50,Championships 2022,1,NA,NA,1,0,7.5,NA,NA
XIA,103,0.844,186.44,0.858,0.638,125.62,0.64,0.224,0.078,0.126,0.252,0.2025,19.4,66,77.8,23,7.8,12.8,0.32648996357436255,14.5,0,1,100,Championships 2022,1,NA,NA,0,0,9.5,11.5,NA
XSET,102,1.046,207.64,1.056,0.752,134.88,0.746,0.278,0.108,0.096,0.25,0.2075,23.4,76,71.6,28.4,10.8,9.6,0.5023109243697479,5.5,1,0.375,37.5,Championships 2022,1,NA,NA,1,0,NA,7.5,NA
ZETA,148,0.944,197.24,0.936,0.684,126.94,0.674,0.244,0.108,0.08800000000000001,0.28,0.19333333333333333,20,99.8,107.4,36.4,16,13.6,0.5233877233877234,10.5,0,0.75,75,Championships 2022,1,NA,NA,1,0,3,NA,NA
BLG,124,0.986,199.76,0.99,0.7,128.28,0.7,0.29800000000000004,0.09,0.108,0.212,0.15333333333333335,23,87,88.4,37,11.4,13.4,0.4318876961471821,7.5,0,0.5,50,Championships 2023,0,NA,NA,0,0,NA,NA,NA
DRX,144,1.012,198.01999999999998,0.992,0.694,127.96000000000001,0.69,0.33,0.098,0.10400000000000001,0.288,0.20500000000000002,24.6,99.6,100.2,47.6,14,15,0.481978021978022,5.5,1,0.375,37.5,Championships 2023,1,NA,NA,1,0,NA,NA,7.5
EDG,162,0.992,203.86,1.012,0.716,132.56,0.72,0.29000000000000004,0.092,0.106,0.254,0.17600000000000002,23.2,116.8,115.6,47,15.2,17.2,0.4361563085701017,5.5,0,0.375,37.5,Championships 2023,1,NA,NA,1,0,NA,NA,5.5
EG,92,1.102,209,1.106,0.722,140.66,0.746,0.374,0.11399999999999999,0.088,0.258,0.21,22.6,68.6,62,34.4,10.4,8,0.581519044399369,1,1,0.0625,6.25,Championships 2023,1,NA,NA,1,0,NA,NA,2
FNC,73,1.244,223.06,1.4340000000000002,0.8039999999999999,147.2,0.806,0.38,0.13,0.06999999999999999,0.286,0.4125,19.6,58.8,41.4,27.6,9.4,5.2,0.6734940800276553,4,1,0.25,25,Championships 2023,1,NA,NA,1,1,NA,NA,1
FPX,85,0.886,187.94,0.892,0.684,122.32000000000001,0.65,0.222,0.09,0.11,0.346,0.12,17.8,55.4,62.8,19,7.6,9.4,0.3963852813852814,14.5,0,1,100,Championships 2023,0,NA,NA,0,0,NA,NA,NA
FUT,136,1.128,216.82,1.1300000000000001,0.748,140.20000000000002,0.752,0.402,0.11,0.092,0.28600000000000003,0.17800000000000002,22.2,102.4,91.2,54.6,14.8,12.4,0.5149405061169767,7.5,0,0.5,50,Championships 2023,1,NA,NA,0,0,NA,NA,9.5
GIA,161,1.016,201.58,0.968,0.726,135.96,0.7,0.35400000000000004,0.1,0.09999999999999999,0.266,0.192,23.8,113,116.6,57,16.2,16,0.47981373889268625,10.5,0,0.75,75,Championships 2023,0,NA,NA,0,0,NA,NA,NA
KRÜ,90,0.918,180.12,0.864,0.668,122.08,0.606,0.254,0.098,0.10200000000000001,0.23600000000000002,0.125,18.2,54.6,64,22.8,8.8,9.2,0.485993265993266,14.5,0,1,100,Championships 2023,0,NA,NA,0,0,NA,NA,NA
LOUD,176,1.084,201.14000000000001,1.086,0.734,130.5,0.716,0.322,0.112,0.08800000000000001,0.24000000000000002,0.14600000000000002,23.2,126,116,56.8,20,15.2,0.5683912211819189,3,0,0.1875,18.75,Championships 2023,1,NA,NA,1,0,NA,NA,7.5
NAVI,204,0.994,191.56,1.004,0.72,128.9,0.682,0.28200000000000003,0.094,0.10400000000000001,0.29000000000000004,0.184,24,138.6,140.4,57.2,19,21.6,0.49522839649693867,10.5,0,0.75,75,Championships 2023,1,NA,NA,0,0,NA,NA,11.5
NRG,130,1.022,203.44,1,0.74,131.72,0.706,0.32,0.112,0.092,0.242,0.1375,21.6,91.4,91.4,41.4,11.2,9.2,0.5240595611285267,10.5,0,0.75,75,Championships 2023,1,NA,NA,1,0,NA,NA,4
PRX,91,1.1460000000000001,207.48000000000002,1.224,0.776,136.64000000000001,0.732,0.342,0.11,0.08600000000000001,0.28800000000000003,0.22999999999999998,23,66.6,54.8,31.2,10.2,8,0.6054761904761905,2,1,0.125,12.5,Championships 2023,1,NA,NA,1,0,NA,NA,3
T1,129,0.912,191.24,0.898,0.654,124.34,0.662,0.23600000000000002,0.088,0.11,0.266,0.192,17.6,85.4,95.8,30.6,11.4,14.4,0.40681888004468647,10.5,0,0.75,75,Championships 2023,1,NA,NA,0,0,NA,NA,9.5
TL,92,0.864,178.84,0.88,0.674,120.5,0.626,0.224,0.094,0.108,0.28200000000000003,0.15666666666666668,22.8,57.6,65.4,20.6,8.6,9.8,0.4870488721804511,14.5,0,1,100,Championships 2023,1,NA,NA,1,0,NA,NA,5.5
ZETA,79,0.678,157.42,0.738,0.558,99.76,0.582,0.184,0.06,0.142,0.216,0.07,19,45.8,62,14.6,3,7.2,0.30515406162464986,14.5,0,1,100,Championships 2023,0,NA,NA,0,0,NA,NA,NA
